city_or_region,lat,lng,127id
Narva,59.37,28.196,1
Tallinn,59.43,24.74,2
Udria,59.4,27.91,3
Vilnius,54.69,25.3,4
Kiev,50.46,30.56,5
Riga,56.95,24.12,6
Cesis,57.31,25.21,7
Daugavpils,55.89,26.54,8
Tisza River,45.13,20.27,9
Izmir,38.42,27.14,10
Ankara,39.93,32.86,11
Cilicia (ancient),36.98,35.23,12
Vilnius,54.68,25.28,13
Shanghai,31.23,121.49,14
Shantou,23.35,116.66,15
Chaco Boreal,-19.36,-61.07,16
Asir,17.79,43.3,17
Najrān,17.7,44.24,18
Jīzān,16.96,42.54,19
Border of Ethiopia and Italian Somaliland,5.14,45.25,20
Nomonhan,47.85,118.85,21
river Khalkhin Gol,47.71,118.88,22
Tamsagbulag,47.25,117.32,23
Lake Khasan,42.45,130.61,24
Beijing,39.89,116.39,25
Shanghai,31.23,121.47,26
Helsinki,60.17,24.94,27
Karelian Isthmus,60.41,29.99,28
Vientiane,17.96,102.61,29
Sisophon,13.76,102.65,30
Kashmir,34.14,75.96,31
southern and eastern Palestine,31.83,35.08,32
Jerusalem,31.75,35.2,33
Gaza,31.58,34.47,34
Rafah,31.33,34.23,35
Arish,31.25,33.81,36
Quemoy Island,24.44,118.37,37
Tel Aviv,32.08,34.78,38
the south and central parts of the coastal plain,31.33,34.25,39
eastern and southern Sea of Galilee shores,32.76,35.64,40
Golan Heights,33.06,35.35,41
Jerusalem,31.77,35.2,42
the south and central parts of the coastal plain,31.61,34.79,43
Budapest,47.49,19.04,44
Ifni,29.37,-10.17,45
Goulimine,28.99,-10.01,46
Jinmen,24.45,118.38,47
Mazu,26.15,119.93,48
Kongka Pass,34.34,79.03,49
Ladakh,34,78,50
Haiphong,20.84,106.68,51
Dien Bien Phu,21.4,103.03,52
Huế,16.44,107.56,53
Đồng Tháp Province,10.49,105.69,54
Tay Ninh Province,11.35,106.06,55
Lạng Sơn,21.85,106.75,56
Hanoi,21.02,105.83,57
Kashmir,33.78,76.58,58
Sialkot,32.49,74.53,59
East Jerusalem,31.77,35.21,60
West Jerusalem,31.77,35.21,61
Golan Heights,33.02,35.78,62
Suez Canal,30.57,32.44,63
Nam Bac,10.74,106.63,64
Xieng Khoang,19.45,103.33,65
Bolaven Plateau,14.99,106.01,66
Port Said,31.25,32.32,67
Suez,29.96,32.56,68
Tegucigalp,14.06,-87.22,69
Ilopango,13.67,-89.09,70
Khorramshahr,30.43,48.19,71
Halabja,35.16,45.99,72
Kuwait City,29.37,47.97,73
Kyrenia (Girne),35.34,33.31,74
Famagusta,35.12,33.94,75
Lefka,35.11,32.85,76
northeastern Cambodia,13.59,106.38,77
easten Cambodia,11.55,104.92,78
Phnom Penh,11.54,104.89,79
Longewala,27.5,70.07,80
Karachi,24.93,67.01,81
Luanda,-8.84,13.29,82
South of Angola,-14.83,17.76,83
Sarajevo,43.87,18.39,84
Bratunac,44.19,19.37,85
Srebrenica,44.11,19.31,86
Sumqayit,40.58,49.63,87
Nagorno-Karabakh,40.12,45.95,88
Coango,-3.98,12.67,89
Cenepa,-0.23,-78.49,90
Badme,14.73,37.81,91
Drenica,42.55,20.81,92
Belgrade,44.81,20.46,93
Kargil,34.55,76.13,94
Kandahar,31.63,65.73,95
Kabul,34.56,69.21,96
Baghlan,36.18,68.75,97
Basrah,30.62,47.79,98
Baghdad,33.32,44.36,99
Ogaden,7.28,44.3,100
Harar,9.31,42.12,101
Gode,5.95,43.57,102
Kagera,-2.38,31.26,103
Lukaya,-0.14,31.88,104
Masaka,-0.33,31.75,105
South Georgia island,-54.43,-36.59,106
Falklands,-51.8,-59.52,107
Beirut,33.89,35.5,108
Tunis,36.81,10.18,109
Bardaï,21.33,17.02,110
Zouar,20.45,16.53,111
Vi Xuyen,22.72,104.89,112
Yalu River,40.17,124.5,113
Inchon,37.46,126.7,114
Wonsan,39.15,127.44,115
Riwon,40.32,128.65,116
Seoul,37.56,126.99,117
Pyongyang,39.03,125.75,118
Sunchon,39.42,125.93,119
Sukchon,39.42,125.62,120
central Korean mountain range,38.4,127.18,121
Hill 924,38.34,128.18,122
Imjin River,37.78,126.66,123
Kaesong,37.94,126.59,124
Chorwon,38.34,126.91,125
Hill 266,38.23,127,126
Osan,37.09,127.04,127
