"city_or_region","latitude","longitude","connection_order"
"Narva","63.867","28.196","1"
"Narva","63.856","28.843","2"
"Narva","63.825","29.485","3"
"Narva","63.773","30.12","4"
"Narva","63.701","30.743","5"
"Narva","63.608","31.351","6"
"Narva","63.497","31.94","7"
"Narva","63.367","32.507","8"
"Narva","63.219","33.049","9"
"Narva","63.053","33.563","10"
"Narva","62.872","34.047","11"
"Narva","62.676","34.499","12"
"Narva","62.466","34.917","13"
"Narva","62.243","35.299","14"
"Narva","62.008","35.645","15"
"Narva","61.763","35.954","16"
"Narva","61.508","36.224","17"
"Narva","61.246","36.455","18"
"Narva","60.976","36.649","19"
"Narva","60.702","36.803","20"
"Narva","60.422","36.92","21"
"Narva","60.14","36.998","22"
"Narva","59.856","37.04","23"
"Narva","59.571","37.046","24"
"Narva","59.286","37.016","25"
"Narva","59.003","36.951","26"
"Narva","58.722","36.854","27"
"Narva","58.445","36.724","28"
"Narva","58.173","36.563","29"
"Narva","57.907","36.373","30"
"Narva","57.646","36.154","31"
"Narva","57.394","35.908","32"
"Narva","57.15","35.637","33"
"Narva","56.914","35.341","34"
"Narva","56.689","35.022","35"
"Narva","56.474","34.682","36"
"Narva","56.271","34.321","37"
"Narva","56.079","33.942","38"
"Narva","55.9","33.546","39"
"Narva","55.734","33.134","40"
"Narva","55.581","32.707","41"
"Narva","55.442","32.267","42"
"Narva","55.318","31.816","43"
"Narva","55.208","31.354","44"
"Narva","55.114","30.883","45"
"Narva","55.035","30.405","46"
"Narva","54.971","29.92","47"
"Narva","54.923","29.431","48"
"Narva","54.891","28.938","49"
"Narva","54.875","28.444","50"
"Narva","54.875","27.948","51"
"Narva","54.891","27.454","52"
"Narva","54.923","26.961","53"
"Narva","54.971","26.472","54"
"Narva","55.035","25.987","55"
"Narva","55.114","25.509","56"
"Narva","55.208","25.038","57"
"Narva","55.318","24.576","58"
"Narva","55.442","24.125","59"
"Narva","55.581","23.685","60"
"Narva","55.734","23.258","61"
"Narva","55.9","22.846","62"
"Narva","56.079","22.45","63"
"Narva","56.271","22.071","64"
"Narva","56.474","21.71","65"
"Narva","56.689","21.37","66"
"Narva","56.914","21.051","67"
"Narva","57.15","20.755","68"
"Narva","57.394","20.484","69"
"Narva","57.646","20.238","70"
"Narva","57.907","20.019","71"
"Narva","58.173","19.829","72"
"Narva","58.445","19.668","73"
"Narva","58.722","19.538","74"
"Narva","59.003","19.441","75"
"Narva","59.286","19.376","76"
"Narva","59.571","19.346","77"
"Narva","59.856","19.352","78"
"Narva","60.14","19.394","79"
"Narva","60.422","19.472","80"
"Narva","60.702","19.589","81"
"Narva","60.976","19.743","82"
"Narva","61.246","19.937","83"
"Narva","61.508","20.168","84"
"Narva","61.763","20.438","85"
"Narva","62.008","20.747","86"
"Narva","62.243","21.093","87"
"Narva","62.466","21.475","88"
"Narva","62.676","21.893","89"
"Narva","62.872","22.345","90"
"Narva","63.053","22.829","91"
"Narva","63.219","23.343","92"
"Narva","63.367","23.885","93"
"Narva","63.497","24.452","94"
"Narva","63.608","25.041","95"
"Narva","63.701","25.649","96"
"Narva","63.773","26.272","97"
"Narva","63.825","26.907","98"
"Narva","63.856","27.549","99"
"Narva","63.867","28.196","100"
"Tallinn","63.927","24.74","1"
"Tallinn","63.916","25.388","2"
"Tallinn","63.885","26.032","3"
"Tallinn","63.833","26.668","4"
"Tallinn","63.761","27.293","5"
"Tallinn","63.668","27.902","6"
"Tallinn","63.557","28.492","7"
"Tallinn","63.426","29.06","8"
"Tallinn","63.278","29.603","9"
"Tallinn","63.113","30.118","10"
"Tallinn","62.932","30.603","11"
"Tallinn","62.736","31.056","12"
"Tallinn","62.525","31.474","13"
"Tallinn","62.302","31.858","14"
"Tallinn","62.068","32.204","15"
"Tallinn","61.822","32.513","16"
"Tallinn","61.568","32.783","17"
"Tallinn","61.305","33.015","18"
"Tallinn","61.036","33.208","19"
"Tallinn","60.761","33.363","20"
"Tallinn","60.482","33.48","21"
"Tallinn","60.199","33.558","22"
"Tallinn","59.915","33.6","23"
"Tallinn","59.63","33.605","24"
"Tallinn","59.345","33.575","25"
"Tallinn","59.062","33.511","26"
"Tallinn","58.782","33.413","27"
"Tallinn","58.505","33.282","28"
"Tallinn","58.233","33.121","29"
"Tallinn","57.966","32.93","30"
"Tallinn","57.706","32.711","31"
"Tallinn","57.453","32.465","32"
"Tallinn","57.209","32.193","33"
"Tallinn","56.974","31.896","34"
"Tallinn","56.748","31.577","35"
"Tallinn","56.534","31.236","36"
"Tallinn","56.33","30.875","37"
"Tallinn","56.139","30.495","38"
"Tallinn","55.959","30.098","39"
"Tallinn","55.793","29.685","40"
"Tallinn","55.641","29.258","41"
