war_name,fill_continent,war_location,lat,lng,year,war_evemt
Arab-Israeli,Asia,Jerusalem,31.77,35.2,1948,Battles of Latrun
Arab-Israeli,Asia,Golan Heights,33.06,35.35,1948,Northern front – Lake of Galilee
Arab-Israeli,Asia,eastern and southern Sea of Galilee shores,32.76,35.64,1948,Northern front – Lake of Galilee
Arab-Israeli,Asia,the south and central parts of the coastal plain,31.33,34.25,1948,"""On 15 May 1948, the Egyptians attacked two settlements: Nirim, using artillery, armoured cars carrying cannons, and Bren carriers;[14] and Kfar Darom[14] using artillery, tanks and aircraft."""
Arab-Israeli,Asia,Tel Aviv,32.08,34.78,1948,"""On the eve of May 14, the Arabs launched an air attack on Tel Aviv, which the Israelis resisted."""
Arab-Israeli,Asia,the south and central parts of the coastal plain,31.61,34.79,1948,Northern Samaria
Arab-Israeli ,Asia,southern and eastern Palestine,31.83,35.08,1948,Arab force occupied the area
Arab-Israeli ,Asia,Jerusalem,31.75,35.2,1948,Arab force occupied the area
Assam,Asia,Kongka Pass,34.34,79.03,1962,A clash between the two armies at Kongka Pass in which nine Indian policemen were killed
Assam,Asia,Ladakh,34,78,1962,"""On October 20, 1962, China's People's Liberation Army invaded India in Ladakh, and across the McMahon Line in the then North-East Frontier Agency"""
Azeri-Armenian,Asia,Sumqayit,40.58,49.63,1975,"""
A massacre against the Armenian inhabitants occurred in Sumgate, Azerbaijan"""
Azeri-Armenian,Asia,Nagorno-Karabakh,40.12,45.95,1975,Azerbaijan and Armenians have a street fight
Badme Border,Africa,Badme,14.73,37.81,1975,a large Eritrean mechanized force entered the Badme region along the border of Eritrea and Ethiopia's northern Tigray Region
Bangladesh,Asia,Longewala,27.5,70.07,1971,Battle of Longewala
Bangladesh,Asia,Karachi,24.93,67.01,1971,Indian naval attack on Karachi
Bosnian Independence,Asia,Srebrenica,44.11,19.31,1975,Serbia will kill all Bosnian men living in Srebrenica
Bosnian Independence,Europe,Sarajevo,43.87,18.39,1975,Sevilla surrounded the capital Sarajevo for siege
Bosnian Independence,Europe,Bratunac,44.19,19.37,1975,"""
Bosniacs armed groups attacked the Serbian settlements of Bratunaz"""
